track_id,track title,artist name
2,Food,AWOL
3,Electric Ave,AWOL
5,This World,AWOL
10,Freeway,Kurt Vile
134,Street Music,AWOL
136,Peel Back The Mountain Sky,Abominog
139,CandyAss,Alec K. Redfearn & the Eyesores
140,Queen Of The Wires,Alec K. Redfearn & the Eyesores
141,Ohio,Alec K. Redfearn & the Eyesores
148,Blackout 2,Contradiction
181,Gopacapulco,Ariel Pink's Haunted Graffiti
182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti
190,Castle Of Stars,Ed Askew
193,Here With You,Ed Askew
194,All I want to Do,Ed Askew
197,Piano 2,Ed Askew
198,It Breaks My Heart,Ed Askew
200,Baby Come Home,Ed Askew
203,Song For R,Ed Askew
204,My Dream,Ed Askew
207,Piano 3,Ed Askew
208,Safe Harbor,Ed Askew
209,Safe Harbor,Ed Askew
210,In the French Court,Ed Askew
211,In America,Ed Askew
212,When I Arive,Ed Askew
213,Boute,Au
237,Garbage and (Garbage and Fire),Barnacled
247,A New Map for Kissing,Bird Names
249,The Indefinite Time Yet to Come,Bird Names
255,We Want to be Old,Bird Names
256,Toggle,Black Elk
257,My Lil',Black Elk
258,Eyebone,Black Elk
341,Count Dracula's castle,Blah Blah Blah
343,Cybernetics,Blah Blah Blah
352,In Arabia,Blah Blah Blah
368,Vampires,Blah Blah Blah
369,Whistle while you work,Blah Blah Blah
397,The Tides Of Land,Borful Tang
398,Borful Tang Loves Nomeansno,Borful Tang
399,ELI,Borful Tang
400,Electronic Interlude VI,Borful Tang
405,Majestic Shuffle,Borful Tang
414,John And Mary - The Restaurant,Borful Tang
424,The Ambient Honky,Brian Joseph Davis
425,Track5,Brian Joseph Davis
458,Hunt Like Devil 4,CAVE
459,Machines and Muscles,CAVE
512,"""""",Celesteville
534,I Can See You,Charles Manson
535,Angels Fear To Tread,Charles Manson
536,Riding On Your Fears,Charles Manson
537,I Don't Need Water Sprinklers In The Desert,Charles Manson
540,The Black Pirate,Charles Manson
546,If You Have No One,Charles Manson
550,Cello Duet No. 1,Chief Boima
564,The Sugar Society,Cinwaves
573,When My Ship Comes In,Clockcleaner
574,Caliente Queen,Clockcleaner
583,"WAR (If It Feels Good, Do It!)",DJ's of Mass Destruction
584,Liberate The Children (Live),DJ's of Mass Destruction
585,Weapons? What Weapons of Mass Destruction? (Live),DJ's of Mass Destruction
590,Stuck,Delta Dreambox
591,Without A Sound,Delta Dreambox
592,Song X,Delta Dreambox
593,Finally Here,Delta Dreambox
602,Disappearing,Dora Bleu
603,Lover of Nightmares,Dora Bleu
605,I Was So Bored I Wanted To Hang Myself On The Dancefloor,Double Dagger
608,Punk Rock vs. Swiss Modernism,Double Dagger
615,"Immaterial, side A",EKG
619,Pebble Beach,Ed Askew
620,Arabesque,Ed Askew
621,Blue Eyed Baby,Ed Askew
625,Climbing To The Top,Ed Askew
629,Dancing On Water,Ed Askew
631,Buddha Smiles,Ed Askew
633,Indian Giver,El Jesus De Magico
635,Xmas at Wounded Knee,El Jesus De Magico
664,side 6 - not funny,Ethan Persoff
665,Disneyland (edit),Ethan Persoff
666,Heat,Explode Into Colors
667,Sharpen The Knife,Explode Into Colors
668,Dream,Fanatic
669,Dream,Fanatic
672,Rise,Fanatic
673,Rise,Fanatic
674,Enterprizin,Fanatic
676,The Tension,Fanatic
677,The_Tension,Fanatic
679,Change Thoughts,Fanatic
680,Sunshine,Fanatic
681,Sunshine,Fanatic
684,Late Night Show,Fanatic
686,Murder,Fanatic
690,Cataclysm,Flying Luttenbachers
694,Planet Say (featuring Faust),Food For Animals
695,Elephants,Food For Animals
696,Korea,Foot Village
698,Iran,Foot Village
701,Japan,Foot Village
702,Mexico,Foot Village
703,Peru Austria and Canada,Foot Village
704,Mano De Dios,Fósforo
705,Tio Cocodrilo,Fósforo
706,Esto Es Califas,Fósforo
707,Cochabamba,Fósforo
708,Desconocido,Fósforo
709,Cumbia De Obama,Fósforo
714,Circle Moon,Fursaxa
715,Kokopelli,Fursaxa
716,Saxalainen,Fursaxa
717,Tyranny,Fursaxa
718,Song Of The Spindle Berry,Fursaxa
720,Camera Shy,Fuzz Unlimited
734,Crystal Migraine,Glass Candy
735,Iko! Iko!,Glass Candy
736,You Are the Fly,Glass Candy
737,Youe Deam Lover's On Video Again,Glass Candy
738,Cold Party,Glass Candy
739,Hurt,Glass Candy
740,Life After Sundown,Glass Candy
741,Sugar &amp; Whitebread,Glass Candy
742,B-Girls,Glass Candy
743,Brittle Woman,Glass Candy
744,Lovin' Machine,Glass Candy
745,Nite Nurses,Glass Candy
747,Nite Nurses,Glass Candy
748,track 4,Glass Candy
749,Your Deam Lover's On Video Again,Glass Candy
750,Iko! Iko! (vocal/conga mix),Glass Candy
751,Love Love Love,Glass Candy
752,The Chameleon,Glass Candy
753,track 5,Glass Candy
754,Labrea Tar Pit,Glass Candy
755,Love On a Plate,Glass Candy
756,Sugar &amp; Whitebread (instrumental),Glass Candy
757,track 6,Glass Candy
758,Lovin' Machine (nite Vocoder version),Glass Candy
759,Night Nurses,Glass Candy
760,Empty V,Glass Candy
761,Lovin' Machine (vocal dub),Glass Candy
762,Crystal Migraine,Glass Candy
763,Love Love Love,Glass Candy
764,Be a Dolly,Glass Candy
765,Love Love Love,Glass Candy
766,Love On a Plate,Glass Candy
767,Love On a Plate,Glass Candy
768,Brittle Woman,Glass Candy
769,The Screamers,Glass Candy
770,Black Veil,Glass Candy
771,Brittle Woman,Glass Candy
772,Johnny Are You Queer?,Glass Candy
773,Nite Nurses,Glass Candy
774,The Last Time,Glass Candy
775,Nite Nurses,Glass Candy
776,Hurt,Glass Candy
777,Relaxing,Glove Compartment
814,Motion Passings,Hall Of Fame
819,suBwarren1,Hans Grüsel's Krankenkabinet
820,suBwarren2,Hans Grüsel's Krankenkabinet
821,Sir,Hecuba
822,Tom & Jerry,Hecuba
823,YES,Hecuba
824,Black Mold,Here Comes A Big Black Cloud!!
825,Death March,Here Comes A Big Black Cloud!!
826,Graverobbin,Here Comes A Big Black Cloud!!
829,The Fly Pt. II,Here Comes A Big Black Cloud!!
830,Vietnam,Here Comes A Big Black Cloud!!
831,Late Late Show,Here's How
832,My Heart Beats Like A Hammer,Here's How
833,From This Moment On,Here's How
834,You Showed Me The Way,Here's How
835,Ain't No Use,Here's How
853,Welsinsni Melodyi,Hutzl Ukranian Ensemble
854,INXS,Nautical Almanac
855,Aimless Journey,I Am the Liquor
858,Blastered,I Am the Liquor
861,Kicking & Screaming,I Am the Liquor
863,Bariwax,I Am the Liquor
868,The Stars Are Beautiful,Ian Nagoski
878,Bad Carnival Acid,Illusion of Safety
881,I could be wrong,Illusion of Safety
889,Wasteland,Illusion of Safety
890,Softly Tomorrow,Ilyas Ahmed
891,Your One Mind,Ilyas Ahmed
892,Phantom Sky,Ilyas Ahmed
